sex,age,fl
Female,0.166666667,30.3
Female,0.166666667,30.5
Female,0.166666667,28.8
Female,0.166666667,26.3
Female,0.166666667,31.9
Female,0.166666667,32.4
Female,0.166666667,29.8
Juvenile,0.166666667,27.8
Female,0.25,34
Female,0.25,31.2
Female,0.25,31.7
Female,0.25,31
Female,0.25,29.3
Female,0.25,34.2
Female,0.25,32.6
Female,0.25,31.5
Female,0.25,31.7
Female,0.25,29.2
Female,0.25,29.7
Juvenile,0.25,32.2
Juvenile,0.25,27.3
Juvenile,0.25,32.5
Male,0.25,32.5
Male,0.25,32.7
Male,0.25,32.1
Female,0.333333333,33.8
Female,0.333333333,38.8
Female,0.333333333,31.8
Female,0.333333333,34.5
Female,0.333333333,33.8
Juvenile,0.333333333,30.6
Female,0.416666667,34.9
Female,0.416666667,36.2
Female,0.416666667,35.4
Female,0.416666667,37.3
Female,0.416666667,34.5
Female,0.416666667,36.3
Juvenile,0.416666667,35.2
Juvenile,0.416666667,35.6
Juvenile,0.416666667,33.7
Juvenile,0.416666667,35.1
Juvenile,0.416666667,34.8
Juvenile,0.416666667,34.6
Juvenile,0.416666667,34.2
Juvenile,0.416666667,33.4
Juvenile,0.416666667,33.6
Juvenile,0.416666667,32.1
Male,0.416666667,34.2
Female,0.5,38.2
Male,0.5,37.4
Female,0.75,41.3
Female,0.75,42.8
Female,0.75,40.2
Female,0.75,42.9
Female,0.833333333,39.1
Female,0.916666667,37.5
Female,0.916666667,37
Female,0.916666667,38.8
Female,0.916666667,37.5
Female,0.916666667,39.1
Female,0.916666667,38.8
Female,0.916666667,39.1
Female,0.916666667,36.8
Female,1,39.4
Female,1,37.9
Female,1,36.5
Female,1,39.2
Female,1,35
Female,1,38.8
Female,1,38.3
Female,1,39.3
Male,1,45.7
Male,1,38
Male,1,49
Male,1,41.9
Male,1,38.5
Male,1,38.9
Male,1,37.6
Male,1,38.8
Female,1.083333333,43.4
Female,1.083333333,38.7
Female,1.083333333,38.4
Female,1.083333333,37.6
Female,1.083333333,38.2
Male,1.083333333,48
Male,1.083333333,36.6
Male,1.083333333,35.8
Male,1.083333333,37
Male,1.083333333,35.2
Male,1.083333333,35.6
Female,1.166666667,41
Female,1.166666667,42.1
Female,1.166666667,39.6
Female,1.166666667,43.3
Female,1.166666667,45.7
Male,1.166666667,41.3
Male,1.166666667,48.2
Female,1.25,38.3
Female,1.25,41.1
Female,1.25,44.6
Female,1.25,47.5
Female,1.25,48.8
Female,1.25,46.1
Female,1.25,46.6
Female,1.25,44.2
Female,1.25,48.8
Male,1.25,39.4
Male,1.25,39.8
Male,1.25,38.4
Male,1.25,39.9
Male,1.25,40.1
Male,1.25,38.5
Male,1.25,37.4
Male,1.25,49.5
Female,1.333333333,43
Female,1.333333333,41.4
Female,1.333333333,42.5
Female,1.333333333,47.9
Female,1.333333333,47
Female,1.333333333,50.3
Female,1.416666667,47
Male,1.416666667,46.9
Male,1.416666667,43.7
Female,1.5,39.6
Female,1.5,48
Female,1.5,37.9
Female,1.5,37.5
Female,1.5,38.4
Female,1.5,39.5
Female,1.5,48.8
Male,1.5,45.7
Male,1.5,40.1
Male,1.5,45.3
Male,1.5,37.5
Female,1.583333333,48.4
Female,1.583333333,38.7
Female,1.583333333,39.3
Female,1.583333333,46.9
Female,1.583333333,39.5
Female,1.583333333,43.4
Male,1.583333333,46.3
Male,1.583333333,46.5
Male,1.583333333,48.3
Female,1.666666667,43
Female,1.666666667,40.4
Female,1.666666667,41.8
Female,1.666666667,51.3
Female,1.666666667,44.1
Female,1.666666667,40.4
Female,1.666666667,42.1
Male,1.666666667,47.2
Male,1.666666667,46.8
Male,1.666666667,43.2
Female,1.75,50.4
Female,1.75,43.4
Female,1.75,39
Female,1.75,40.4
Female,1.75,44.6
Female,1.75,40.9
Male,1.75,48.9
Male,1.75,47.5
Male,1.75,49.8
Male,1.75,45.6
Male,1.75,42.6
Male,1.75,40.7
Female,1.833333333,40.3
Female,1.833333333,38.5
Female,1.833333333,39.2
Female,1.833333333,39.2
Female,1.833333333,39
Female,1.833333333,38.8
Female,1.833333333,40
Male,1.833333333,38.7
Male,1.833333333,41
Female,1.916666667,41.5
Female,1.916666667,46.1
Female,1.916666667,48
Female,1.916666667,38.9
Female,1.916666667,39.4
Female,1.916666667,37.3
Female,1.916666667,37.9
Female,1.916666667,38.5
Female,2.083333333,55.6
Female,2.166666667,50.7
Female,2.166666667,47.8
Female,2.166666667,50.8
Female,2.166666667,53.9
Female,2.166666667,50.1
Female,2.166666667,50.9
Female,2.166666667,53.8
Female,2.166666667,46
Female,2.166666667,49
Female,2.166666667,52.4
Female,2.166666667,51.2
Female,2.166666667,52.1
Female,2.166666667,47
Male,2.166666667,46
Male,2.166666667,41
Male,2.166666667,51
Male,2.166666667,46
Male,2.166666667,49
Male,2.166666667,47.3
Male,2.166666667,47.6
Male,2.166666667,47.7
Female,2.25,53.1
Female,2.25,52.3
Male,2.25,49
Male,2.25,45.6
Male,2.25,49.7
Female,2.333333333,45.5
Female,2.333333333,52.4
Female,2.333333333,48.5
Female,2.333333333,52.5
Female,2.333333333,52.6
Female,2.333333333,54.9
Female,2.333333333,50
Female,2.333333333,40.9
Male,2.333333333,49
Male,2.333333333,50.6
Female,2.416666667,48.1
Female,2.5,38.1
Female,2.5,55.5
Female,2.5,40.8
Female,2.5,58.5
Female,2.5,38.4
Female,2.5,53.9
Female,2.5,56.4
Female,2.5,60.2
Female,2.5,63.8
Male,2.5,44.6
Male,2.5,45
Male,2.5,45.5
Male,2.5,47
Male,2.5,46
Female,2.583333333,49.5
Female,2.583333333,48.4
Female,2.583333333,49
Female,2.583333333,47.6
Male,2.583333333,46
Female,2.666666667,58.2
Male,2.666666667,51.3
Female,2.75,44.7
Male,2.75,52.5
Male,2.75,49.2
Female,2.833333333,43.5
Female,3.333333333,49.7
Female,3.333333333,60
Female,3.333333333,62.4
Female,3.416666667,60.7
Female,3.416666667,63.8
Female,3.5,47.4
